Serial number of record	ID	Instrument	Prize	Px_fill	Side	Status
82	0x7da	USDCHF 	0.9	0.862	Buy	In_process
83	0x7da	USDCHF 	0.9	0.862	Buy	 PartialFill
84	0x7da	USDCHF 	0.9	0.862	Buy	Done
85	0x6b6	EURUSD 	1.2	1.173	Buy	In_process
86	0x6b6	EURUSD 	1.2	1.173	Buy	 PartialFill
87	0x6b6	EURUSD 	1.2	1.173	Buy	Done
88	0x475	GBRJPY 	143.61	144.370	Buy	In_process
89	0x475	GBRJPY 	143.61	144.370	Buy	 Cansel
90	0x475	GBRJPY 	143.61	144.370	Buy	Done
91	0x2d9	USDCAD 	0.78	0.874	Buy	In_process
92	0x2d9	USDCAD 	0.78	0.874	Buy	 Cansel
93	0x2d9	USDCAD 	0.78	0.874	Buy	Done
94	0x1619	EURPLN 	4.5	4.482	 Sell	In_process
95	0x1619	EURPLN 	4.5	4.482	 Sell	 PartialFill
96	0x1619	EURPLN 	4.5	4.482	 Sell	Done
97	0x15c7	GBPUSD 	1.37	1.336	Buy	In_process
98	0x15c7	GBPUSD 	1.37	1.336	Buy	 Cansel
99	0x15c7	GBPUSD 	1.37	1.336	Buy	Done
100	0xb8e	USDCAD 	0.78	0.879	Buy	In_process
101	0xb8e	USDCAD 	0.78	0.879	Buy	 Cansel
102	0xb8e	USDCAD 	0.78	0.879	Buy	Done
103	0x138e	USDCHF 	0.9	0.861	Buy	In_process
104	0x138e	USDCHF 	0.9	0.861	Buy	 PartialFill
105	0x138e	USDCHF 	0.9	0.861	Buy	Done
106	0xd42	EURCHF 	1.08	1.135	 Sell	In_process
107	0xd42	EURCHF 	1.08	1.135	 Sell	Fill
108	0xd42	EURCHF 	1.08	1.135	 Sell	Done
109	0xa3e	USDJPY 	105.02	104.550	Buy	In_process
110	0xa3e	USDJPY 	105.02	104.550	Buy	 Cansel
111	0xa3e	USDJPY 	105.02	104.550	Buy	Done
112	0x16d0	USDCAD 	0.78	0.780	Buy	In_process
113	0x16d0	USDCAD 	0.78	0.780	Buy	 PartialFill
114	0x16d0	USDCAD 	0.78	0.780	Buy	Done
115	0x2a1	AUDUSD 	0.76	0.848	Buy	In_process
116	0x2a1	AUDUSD 	0.76	0.848	Buy	Fill
117	0x2a1	AUDUSD 	0.76	0.848	Buy	Done
118	0x16a4	EURJPY 	126.39	127.110	 Sell	In_process
119	0x16a4	EURJPY 	126.39	127.110	 Sell	 PartialFill
120	0x16a4	EURJPY 	126.39	127.110	 Sell	Done
121	0x824	USDCAD 	0.78	0.876	Buy	In_process
122	0x824	USDCAD 	0.78	0.876	Buy	Fill
123	0x824	USDCAD 	0.78	0.876	Buy	Done
124	0xd9f	USDCAD 	0.78	0.878	Buy	In_process
125	0xd9f	USDCAD 	0.78	0.878	Buy	Fill
126	0xd9f	USDCAD 	0.78	0.878	Buy	Done
127	0x14a	EURPLN 	4.5	4.484	 Sell	In_process
128	0x14a	EURPLN 	4.5	4.484	 Sell	Fill
129	0x14a	EURPLN 	4.5	4.484	 Sell	Done
130	0x1700	USDCHF 	0.9	0.862	Buy	In_process
131	0x1700	USDCHF 	0.9	0.862	Buy	 PartialFill
132	0x1700	USDCHF 	0.9	0.862	Buy	Done
133	0x1681	EURJPY 	126.39	127.080	 Sell	In_process
134	0x1681	EURJPY 	126.39	127.080	 Sell	 Cansel
135	0x1681	EURJPY 	126.39	127.080	 Sell	Done
136	0x1161	EURPLN 	4.5	4.483	 Sell	In_process
137	0x1161	EURPLN 	4.5	4.483	 Sell	 PartialFill
138	0x1161	EURPLN 	4.5	4.483	 Sell	Done
139	0x13ee	USDJPY 	105.02	105.020	Buy	In_process
140	0x13ee	USDJPY 	105.02	105.020	Buy	 PartialFill
141	0x13ee	USDJPY 	105.02	105.020	Buy	Done
142	0x58c	EURPLN 	4.5	4.482	 Sell	In_process
143	0x58c	EURPLN 	4.5	4.482	 Sell	 Cansel
144	0x58c	EURPLN 	4.5	4.482	 Sell	Done
145	0x1773	EURCHF 	1.08	1.080	 Sell	In_process
146	0x1773	EURCHF 	1.08	1.080	 Sell	Fill
147	0x1773	EURCHF 	1.08	1.080	 Sell	Done
148	0x16a9	AUDUSD 	0.76	0.848	Buy	In_process
149	0x16a9	AUDUSD 	0.76	0.848	Buy	 Cansel
150	0x16a9	AUDUSD 	0.76	0.848	Buy	Done
151	0xa36	GBPUSD 	1.37	1.336	Buy	In_process
152	0xa36	GBPUSD 	1.37	1.336	Buy	 Cansel
153	0xa36	GBPUSD 	1.37	1.336	Buy	Done
154	0x1380	USDPLN 	3.7	3.698	 Sell	In_process
155	0x1380	USDPLN 	3.7	3.698	 Sell	Fill
156	0x1380	USDPLN 	3.7	3.698	 Sell	Done
157	0x776	USDCAD 	0.78	0.876	Buy	In_process
158	0x776	USDCAD 	0.78	0.876	Buy	Fill
159	0x776	USDCAD 	0.78	0.876	Buy	Done
160	0xcc4	EURUSD 	1.2	1.176	 Sell	In_process
161	0xcc4	EURUSD 	1.2	1.176	 Sell	 Cansel
162	0xcc4	EURUSD 	1.2	1.176	 Sell	Done
163	0x588	AUDUSD 	0.76	0.844	Buy	In_process
164	0x588	AUDUSD 	0.76	0.844	Buy	 PartialFill
165	0x588	AUDUSD 	0.76	0.844	Buy	Done
166	0x15cb	USDPLN 	3.7	3.697	 Sell	In_process
167	0x15cb	USDPLN 	3.7	3.697	 Sell	 Cansel
168	0x15cb	USDPLN 	3.7	3.697	 Sell	Done
169	0xd36	USDCHF 	0.9	0.861	Buy	In_process
170	0xd36	USDCHF 	0.9	0.861	Buy	 PartialFill
171	0xd36	USDCHF 	0.9	0.861	Buy	Done
172	0x546	USDPLN 	3.7	3.695	 Sell	In_process
173	0x546	USDPLN 	3.7	3.695	 Sell	 Cansel
174	0x546	USDPLN 	3.7	3.695	 Sell	Done
175	0x1232	GBPUSD 	1.37	1.335	Buy	In_process
176	0x1232	GBPUSD 	1.37	1.335	Buy	 PartialFill
177	0x1232	GBPUSD 	1.37	1.335	Buy	Done
178	0xb8c	EURPLN 	4.5	4.486	 Sell	In_process
179	0xb8c	EURPLN 	4.5	4.486	 Sell	 Cansel
180	0xb8c	EURPLN 	4.5	4.486	 Sell	Done
181	0x12ba	GBRJPY 	143.61	144.420	Buy	In_process
182	0x12ba	GBRJPY 	143.61	144.420	Buy	 Cansel
183	0x12ba	GBRJPY 	143.61	144.420	Buy	Done
184	0x1466	USDCHF 	0.9	0.859	Buy	In_process
185	0x1466	USDCHF 	0.9	0.859	Buy	Fill
186	0x1466	USDCHF 	0.9	0.859	Buy	Done
187	0x7c6	EURPLN 	4.5	4.485	 Sell	In_process
188	0x7c6	EURPLN 	4.5	4.485	 Sell	Fill
189	0x7c6	EURPLN 	4.5	4.485	 Sell	Done
190	0x1629	EURCHF 	1.08	1.142	 Sell	In_process
191	0x1629	EURCHF 	1.08	1.142	 Sell	Fill
192	0x1629	EURCHF 	1.08	1.142	 Sell	Done
193	0x4ac	GBRJPY 	143.61	143.610	Buy	In_process
194	0x4ac	GBRJPY 	143.61	143.610	Buy	 PartialFill
195	0x4ac	GBRJPY 	143.61	143.610	Buy	Done
196	0x1e4	USDCAD 	0.78	0.874	Buy	In_process
197	0x1e4	USDCAD 	0.78	0.874	Buy	 PartialFill
198	0x1e4	USDCAD 	0.78	0.874	Buy	Done
199	0xf93	USDPLN 	3.7	3.698	 Sell	In_process
200	0xf93	USDPLN 	3.7	3.698	 Sell	Fill
201	0xf93	USDPLN 	3.7	3.698	 Sell	Done
202	0x127a	USDPLN 	3.7	3.696	 Sell	In_process
203	0x127a	USDPLN 	3.7	3.696	 Sell	Fill
204	0x127a	USDPLN 	3.7	3.696	 Sell	Done
205	0x11a1	USDCAD 	0.78	0.780	Buy	In_process
206	0x11a1	USDCAD 	0.78	0.780	Buy	 PartialFill
207	0x11a1	USDCAD 	0.78	0.780	Buy	Done
208	0x16b3	GBRJPY 	143.61	144.420	Buy	In_process
209	0x16b3	GBRJPY 	143.61	144.420	Buy	Fill
210	0x16b3	GBRJPY 	143.61	144.420	Buy	Done
211	0xe5a	USDJPY 	105.02	104.560	Buy	In_process
212	0xe5a	USDJPY 	105.02	104.560	Buy	Fill
213	0xe5a	USDJPY 	105.02	104.560	Buy	Done
214	0x787	USDCHF 	0.9	0.900	Buy	In_process
215	0x787	USDCHF 	0.9	0.900	Buy	 PartialFill
216	0x787	USDCHF 	0.9	0.900	Buy	Done
217	0x13ce	EURJPY 	126.39	127.070	 Sell	In_process
218	0x13ce	EURJPY 	126.39	127.070	 Sell	 Cansel
219	0x13ce	EURJPY 	126.39	127.070	 Sell	Done
220	0x1007	USDCAD 	0.78	0.877	Buy	In_process
221	0x1007	USDCAD 	0.78	0.877	Buy	Fill
222	0x1007	USDCAD 	0.78	0.877	Buy	Done
223	0x130c	GBRJPY 	143.61	144.350	 Sell	In_process
224	0x130c	GBRJPY 	143.61	144.350	 Sell	 Cansel
225	0x130c	GBRJPY 	143.61	144.350	 Sell	Done
226	0x6e4	USDJPY 	105.02	104.530	Buy	In_process
227	0x6e4	USDJPY 	105.02	104.530	Buy	Fill
228	0x6e4	USDJPY 	105.02	104.530	Buy	Done
229	0x1781	USDCHF 	0.9	0.858	Buy	In_process
230	0x1781	USDCHF 	0.9	0.858	Buy	 PartialFill
231	0x1781	USDCHF 	0.9	0.858	Buy	Done
232	0x4ba	EURPLN 	4.5	4.485	 Sell	In_process
233	0x4ba	EURPLN 	4.5	4.485	 Sell	Fill
234	0x4ba	EURPLN 	4.5	4.485	 Sell	Done
235	0x7b0	AUDUSD 	0.76	0.851	Buy	In_process
236	0x7b0	AUDUSD 	0.76	0.851	Buy	 PartialFill
237	0x7b0	AUDUSD 	0.76	0.851	Buy	Done
238	0xd0d	GBRJPY 	143.61	144.360	 Sell	In_process
239	0xd0d	GBRJPY 	143.61	144.360	 Sell	 PartialFill
240	0xd0d	GBRJPY 	143.61	144.360	 Sell	Done
241	0xc07	EURCHF 	1.08	1.144	 Sell	In_process
242	0xc07	EURCHF 	1.08	1.144	 Sell	 PartialFill
243	0xc07	EURCHF 	1.08	1.144	 Sell	Done
244	0x1632	EURCHF 	1.08	1.138	 Sell	In_process
245	0x1632	EURCHF 	1.08	1.138	 Sell	 PartialFill
246	0x1632	EURCHF 	1.08	1.138	 Sell	Done
247	0x866	USDJPY 	105.02	105.560	 Sell	In_process
248	0x866	USDJPY 	105.02	105.560	 Sell	 PartialFill
249	0x866	USDJPY 	105.02	105.560	 Sell	Done
250	0x1138	USDPLN 	3.7	3.694	 Sell	In_process
251	0x1138	USDPLN 	3.7	3.694	 Sell	 Cansel
252	0x1138	USDPLN 	3.7	3.694	 Sell	Done
253	0x2f4	USDCHF 	0.9	0.857	Buy	In_process
254	0x2f4	USDCHF 	0.9	0.857	Buy	 PartialFill
255	0x2f4	USDCHF 	0.9	0.857	Buy	Done
256	0x98c	EURCHF 	1.08	1.137	 Sell	In_process
257	0x98c	EURCHF 	1.08	1.137	 Sell	Fill
258	0x98c	EURCHF 	1.08	1.137	 Sell	Done
259	0x144d	USDCAD 	0.78	0.875	Buy	In_process
260	0x144d	USDCAD 	0.78	0.875	Buy	 PartialFill
261	0x144d	USDCAD 	0.78	0.875	Buy	Done
262	0x1527	GBPUSD 	1.37	1.336	Buy	In_process
263	0x1527	GBPUSD 	1.37	1.336	Buy	 Cansel
264	0x1527	GBPUSD 	1.37	1.336	Buy	Done
265	0x107f	GBRJPY 	143.61	144.390	Buy	In_process
266	0x107f	GBRJPY 	143.61	144.390	Buy	Fill
267	0x107f	GBRJPY 	143.61	144.390	Buy	Done
268	0x1546	GBPUSD 	1.37	1.342	Buy	In_process
269	0x1546	GBPUSD 	1.37	1.342	Buy	Fill
270	0x1546	GBPUSD 	1.37	1.342	Buy	Done
271	0x59a	USDCAD 	0.78	0.872	Buy	In_process
272	0x59a	USDCAD 	0.78	0.872	Buy	 Cansel
273	0x59a	USDCAD 	0.78	0.872	Buy	Done
274	0x584	USDCAD 	0.78	0.875	Buy	In_process
275	0x584	USDCAD 	0.78	0.875	Buy	 PartialFill
276	0x584	USDCAD 	0.78	0.875	Buy	Done
277	0x1423	USDCHF 	0.9	0.856	Buy	In_process
278	0x1423	USDCHF 	0.9	0.856	Buy	Fill
279	0x1423	USDCHF 	0.9	0.856	Buy	Done
280	0x3c3	USDCHF 	0.9	0.856	Buy	In_process
281	0x3c3	USDCHF 	0.9	0.856	Buy	 Cansel
282	0x3c3	USDCHF 	0.9	0.856	Buy	Done
283	0x56	GBPUSD 	1.37	1.334	Buy	In_process
284	0x56	GBPUSD 	1.37	1.334	Buy	 Cansel
285	0x56	GBPUSD 	1.37	1.334	Buy	Done
286	0x10e4	USDPLN 	3.7	3.697	 Sell	In_process
287	0x10e4	USDPLN 	3.7	3.697	 Sell	 Cansel
288	0x10e4	USDPLN 	3.7	3.697	 Sell	Done
289	0xfa2	EURJPY 	126.39	127.060	 Sell	In_process
290	0xfa2	EURJPY 	126.39	127.060	 Sell	 PartialFill
291	0xfa2	EURJPY 	126.39	127.060	 Sell	Done
292	0xf5	GBRJPY 	143.61	144.360	 Sell	In_process
293	0xf5	GBRJPY 	143.61	144.360	 Sell	 Cansel
294	0xf5	GBRJPY 	143.61	144.360	 Sell	Done
295	0xb89	USDCHF 	0.9	0.855	Buy	In_process
296	0xb89	USDCHF 	0.9	0.855	Buy	 PartialFill
297	0xb89	USDCHF 	0.9	0.855	Buy	Done
298	0x117c	USDJPY 	105.02	105.020	Buy	In_process
299	0x117c	USDJPY 	105.02	105.020	Buy	Fill
300	0x117c	USDJPY 	105.02	105.020	Buy	Done
301	0x761	AUDUSD 	0.76	0.845	Buy	In_process
302	0x761	AUDUSD 	0.76	0.845	Buy	 Cansel
303	0x761	AUDUSD 	0.76	0.845	Buy	Done
304	0x412	GBPUSD 	1.37	1.341	Buy	In_process
305	0x412	GBPUSD 	1.37	1.341	Buy	 PartialFill
306	0x412	GBPUSD 	1.37	1.341	Buy	Done
307	0x951	USDPLN 	3.7	3.699	 Sell	In_process
308	0x951	USDPLN 	3.7	3.699	 Sell	Fill
309	0x951	USDPLN 	3.7	3.699	 Sell	Done
310	0x139a	GBPUSD 	1.37	1.334	Buy	In_process
311	0x139a	GBPUSD 	1.37	1.334	Buy	 PartialFill
312	0x139a	GBPUSD 	1.37	1.334	Buy	Done
313	0x123a	EURJPY 	126.39	127.060	 Sell	In_process
314	0x123a	EURJPY 	126.39	127.060	 Sell	 Cansel
315	0x123a	EURJPY 	126.39	127.060	 Sell	Done
316	0xedc	USDPLN 	3.7	3.691	 Sell	In_process
317	0xedc	USDPLN 	3.7	3.691	 Sell	Fill
318	0xedc	USDPLN 	3.7	3.691	 Sell	Done
319	0xde5	GBPUSD 	1.37	1.370	Buy	In_process
320	0xde5	GBPUSD 	1.37	1.370	Buy	 Cansel
321	0xde5	GBPUSD 	1.37	1.370	Buy	Done
322	0x68b	EURUSD 	1.2	1.178	 Sell	In_process
323	0x68b	EURUSD 	1.2	1.178	 Sell	 PartialFill
324	0x68b	EURUSD 	1.2	1.178	 Sell	Done
325	0xa62	EURUSD 	1.2	1.175	 Sell	In_process
326	0xa62	EURUSD 	1.2	1.175	 Sell	 Cansel
327	0xa62	EURUSD 	1.2	1.175	 Sell	Done
328	0xdfd	GBRJPY 	143.61	144.390	Buy	In_process
329	0xdfd	GBRJPY 	143.61	144.390	Buy	 Cansel
330	0xdfd	GBRJPY 	143.61	144.390	Buy	Done
331	0x107b	USDJPY 	105.02	105.530	 Sell	In_process
332	0x107b	USDJPY 	105.02	105.530	 Sell	Fill
333	0x107b	USDJPY 	105.02	105.530	 Sell	Done
334	0x139e	EURCHF 	1.08	1.142	 Sell	In_process
335	0x139e	EURCHF 	1.08	1.142	 Sell	Fill
336	0x139e	EURCHF 	1.08	1.142	 Sell	Done
337	0x13e2	EURCHF 	1.08	1.138	 Sell	In_process
338	0x13e2	EURCHF 	1.08	1.138	 Sell	 Cansel
339	0x13e2	EURCHF 	1.08	1.138	 Sell	Done
340	0x94	USDCAD 	0.78	0.879	Buy	In_process
341	0x94	USDCAD 	0.78	0.879	Buy	 Cansel
342	0x94	USDCAD 	0.78	0.879	Buy	Done
343	0x12d5	USDJPY 	105.02	104.540	Buy	In_process
344	0x12d5	USDJPY 	105.02	104.540	Buy	 PartialFill
345	0x12d5	USDJPY 	105.02	104.540	Buy	Done
346	0x7d9	GBPUSD 	1.37	1.370	Buy	In_process
347	0x7d9	GBPUSD 	1.37	1.370	Buy	Fill
348	0x7d9	GBPUSD 	1.37	1.370	Buy	Done
349	0x64c	USDCAD 	0.78	0.879	Buy	In_process
350	0x64c	USDCAD 	0.78	0.879	Buy	Fill
351	0x64c	USDCAD 	0.78	0.879	Buy	Done
352	0x807	EURJPY 	126.39	127.110	 Sell	In_process
353	0x807	EURJPY 	126.39	127.110	 Sell	 PartialFill
354	0x807	EURJPY 	126.39	127.110	 Sell	Done
355	0x19d	EURCHF 	1.08	1.143	 Sell	In_process
356	0x19d	EURCHF 	1.08	1.143	 Sell	 Cansel
357	0x19d	EURCHF 	1.08	1.143	 Sell	Done
358	0x9e8	USDCHF 	0.9	0.854	Buy	In_process
359	0x9e8	USDCHF 	0.9	0.854	Buy	 Cansel
360	0x9e8	USDCHF 	0.9	0.854	Buy	Done
361	0xaef	EURCHF 	1.08	1.141	 Sell	In_process
362	0xaef	EURCHF 	1.08	1.141	 Sell	Fill
363	0xaef	EURCHF 	1.08	1.141	 Sell	Done
364	0x12e	EURPLN 	4.5	4.488	 Sell	In_process
365	0x12e	EURPLN 	4.5	4.488	 Sell	 PartialFill
366	0x12e	EURPLN 	4.5	4.488	 Sell	Done
367	0xb68	USDCAD 	0.78	0.874	Buy	In_process
368	0xb68	USDCAD 	0.78	0.874	Buy	 Cansel
369	0xb68	USDCAD 	0.78	0.874	Buy	Done
370	0x3d2	AUDUSD 	0.76	0.843	Buy	In_process
371	0x3d2	AUDUSD 	0.76	0.843	Buy	 Cansel
372	0x3d2	AUDUSD 	0.76	0.843	Buy	Done
373	0x68c	USDPLN 	3.7	3.699	 Sell	In_process
374	0x68c	USDPLN 	3.7	3.699	 Sell	 PartialFill
375	0x68c	USDPLN 	3.7	3.699	 Sell	Done
376	0xacc	EURUSD 	1.2	1.200	 Sell	In_process
377	0xacc	EURUSD 	1.2	1.200	 Sell	 PartialFill
378	0xacc	EURUSD 	1.2	1.200	 Sell	Done
379	0xa6b	EURCHF 	1.08	1.137	 Sell	In_process
380	0xa6b	EURCHF 	1.08	1.137	 Sell	 Cansel
381	0xa6b	EURCHF 	1.08	1.137	 Sell	Done
382	0x11b7	USDPLN 	3.7	3.698	 Sell	In_process
383	0x11b7	USDPLN 	3.7	3.698	 Sell	 PartialFill
384	0x11b7	USDPLN 	3.7	3.698	 Sell	Done
385	0x814	EURCHF 	1.08	1.137	 Sell	In_process
386	0x814	EURCHF 	1.08	1.137	 Sell	 PartialFill
387	0x814	EURCHF 	1.08	1.137	 Sell	Done
388	0x6ff	USDJPY 	105.02	104.540	Buy	In_process
389	0x6ff	USDJPY 	105.02	104.540	Buy	 Cansel
390	0x6ff	USDJPY 	105.02	104.540	Buy	Done
391	0xaf4	USDCHF 	0.9	0.854	Buy	In_process
392	0xaf4	USDCHF 	0.9	0.854	Buy	 PartialFill
393	0xaf4	USDCHF 	0.9	0.854	Buy	Done
394	0x340	USDCHF 	0.9	0.855	Buy	In_process
395	0x340	USDCHF 	0.9	0.855	Buy	 Cansel
396	0x340	USDCHF 	0.9	0.855	Buy	Done
397	0x1149	USDPLN 	3.7	3.698	 Sell	In_process
398	0x1149	USDPLN 	3.7	3.698	 Sell	 Cansel
399	0x1149	USDPLN 	3.7	3.698	 Sell	Done
400	0x9fe	EURJPY 	126.39	127.080	 Sell	In_process
401	0x9fe	EURJPY 	126.39	127.080	 Sell	Fill
402	0x9fe	EURJPY 	126.39	127.080	 Sell	Done
403	0x140b	USDCAD 	0.78	0.876	Buy	In_process
404	0x140b	USDCAD 	0.78	0.876	Buy	 Cansel
405	0x140b	USDCAD 	0.78	0.876	Buy	Done
406	0x118e	GBRJPY 	143.61	144.350	 Sell	In_process
407	0x118e	GBRJPY 	143.61	144.350	 Sell	Fill
408	0x118e	GBRJPY 	143.61	144.350	 Sell	Done
409	0xed5	USDJPY 	105.02	105.530	 Sell	In_process
410	0xed5	USDJPY 	105.02	105.530	 Sell	 PartialFill
411	0xed5	USDJPY 	105.02	105.530	 Sell	Done
412	0xaff	GBRJPY 	143.61	144.420	Buy	In_process
413	0xaff	GBRJPY 	143.61	144.420	Buy	 Cansel
414	0xaff	GBRJPY 	143.61	144.420	Buy	Done
415	0x7ce	GBPUSD 	1.37	1.335	Buy	In_process
416	0x7ce	GBPUSD 	1.37	1.335	Buy	 Cansel
417	0x7ce	GBPUSD 	1.37	1.335	Buy	Done
418	0x1be	EURJPY 	126.39	127.030	 Sell	In_process
419	0x1be	EURJPY 	126.39	127.030	 Sell	Fill
420	0x1be	EURJPY 	126.39	127.030	 Sell	Done
421	0x1792	USDCAD 	0.78	0.877	Buy	In_process
422	0x1792	USDCAD 	0.78	0.877	Buy	 Cansel
423	0x1792	USDCAD 	0.78	0.877	Buy	Done
424	0xbc4	GBPUSD 	1.37	1.370	Buy	In_process
425	0xbc4	GBPUSD 	1.37	1.370	Buy	Fill
426	0xbc4	GBPUSD 	1.37	1.370	Buy	Done
427	0x122f	GBRJPY 	143.61	144.400	Buy	In_process
428	0x122f	GBRJPY 	143.61	144.400	Buy	 Cansel
429	0x122f	GBRJPY 	143.61	144.400	Buy	Done
430	0xa4e	EURCHF 	1.08	1.139	 Sell	In_process
431	0xa4e	EURCHF 	1.08	1.139	 Sell	 Cansel
432	0xa4e	EURCHF 	1.08	1.139	 Sell	Done
433	0x5b5	EURCHF 	1.08	1.138	 Sell	In_process
434	0x5b5	EURCHF 	1.08	1.138	 Sell	Fill
435	0x5b5	EURCHF 	1.08	1.138	 Sell	Done
436	0x10b2	EURPLN 	4.5	4.486	 Sell	In_process
437	0x10b2	EURPLN 	4.5	4.486	 Sell	Fill
438	0x10b2	EURPLN 	4.5	4.486	 Sell	Done
439	0x12a9	USDPLN 	3.7	3.697	 Sell	In_process
440	0x12a9	USDPLN 	3.7	3.697	 Sell	Fill
441	0x12a9	USDPLN 	3.7	3.697	 Sell	Done
442	0xd5c	EURCHF 	1.08	1.137	 Sell	In_process
443	0xd5c	EURCHF 	1.08	1.137	 Sell	Fill
444	0xd5c	EURCHF 	1.08	1.137	 Sell	Done
445	0x1502	AUDUSD 	0.76	0.844	Buy	In_process
446	0x1502	AUDUSD 	0.76	0.844	Buy	 Cansel
