Serial number of record,ID,Instrument,Prize,Px_fill,Side,Volume init,Volume fill,Date,Status,Note,Tag
5437,0x119a,USDPLN ,3.7,3.698, Sell,741000,0,2021-02-02 00:00:15.950,New, Oil diamond diamond Ore, tag4 tag1 tag8 tag5
1168,0x286,USDPLN ,3.7,3.699, Sell,107000,0,2021-02-02 00:00:16.186,In_process, Oil Oil diamond diamond, tag5 tag5
7000,0xadf,USDPLN ,3.7,3.698, Sell,458000,0,2021-02-02 00:00:16.313,New, Oil diamond diamond Ore, tag5 tag2 tag9 tag6
1973,0xcbf,USDPLN ,3.7,3.698,Buy,537000,0,2021-02-02 00:00:16.882,New, Oil diamond diamond Ore, tag5 tag2 tag9 tag6
6862,0x8d9,USDPLN ,3.7,3.698,Buy,373000,0,2021-02-02 00:00:17.162,New, Oil diamond Ore Ore, tag6 tag3 tag7
3149,0x134c,USDPLN ,3.7,3.698, Sell,813000,0,2021-02-02 00:00:17.216,New, Oil diamond Ore Ore, tag6 tag3 tag1 tag9
1926,0x1664,USDPLN ,3.7,3.698, Sell,943000,0,2021-02-02 00:00:17.287,In_process, Oil Oil diamond diamond, tag1 tag6 tag1 tag6
4565,0xe03,USDPLN ,3.7,3.698,Buy,590000,0,2021-02-02 00:00:17.299,New, Oil diamond Ore silver, tag6 tag4 tag2
675,0x1195,USDPLN ,3.7,3.699,Buy,741000,741000,2021-02-02 00:00:17.327,Done,Bercut Oil Oil Oil, tag7 tag3 tag6
6419,0x1735,USDPLN ,3.7,3.699, Sell,977000,0,2021-02-02 00:00:17.828, Cansel, Butter Oil Oil diamond, tag8 tag2 tag6
3389,0xd43,USDPLN ,3.7,3.698,Buy,559000,0,2021-02-02 00:00:18.331,New, Oil diamond Ore silver, tag7 tag5 tag3 tag1
2496,0x10cf,USDPLN ,3.7,3.699,Buy,708000,501000,2021-02-02 00:00:18.555,Done, Butter Oil Oil Oil, tag8 tag1 tag4 tag7
1414,0x480,USDPLN ,3.7,3.698, Sell,190000,0,2021-02-02 00:00:18.685,In_process, Oil Oil diamond diamond, tag2 tag7 tag2 tag8
6783,0x66c,USDPLN ,3.7,3.699, Sell,271000,0,2021-02-02 00:00:18.752, Cansel, Goodbye Oil Oil diamond, tag9 tag3 tag7 tag1
5517,0x5a1,USDPLN ,3.7,3.698,Buy,237000,0,2021-02-02 00:00:19.347,New, Oil diamond Ore silver, tag8 tag7 tag6 tag5
5533,0xe7c,USDPLN ,3.7,3.698, Sell,610000,0,2021-02-02 00:00:19.771,New, Oil diamond Ore silver, tag8 tag6 tag5 tag4
923,0x785,USDPLN ,3.7,3.699,Buy,317000,0,2021-02-02 00:00:19.785, Cansel, Oil Oil Oil diamond, tag4 tag8 tag2
4613,0x701,USDPLN ,3.7,3.698, Sell,295000,0,2021-02-02 00:00:19.788,New, Oil diamond Ore silver, tag8 tag7 tag6 tag5
5477,0x1280,USDPLN ,3.7,3.698, Sell,779000,0,2021-02-02 00:00:19.887,New, Oil diamond Ore silver, tag8 tag7 tag6 tag5
1275,0x803,USDPLN ,3.7,3.699, Sell,338000,338000,2021-02-02 00:00:19.897,Done, Butter Oil Oil Oil, tag8 tag1 tag4 tag8
6289,0xc7b,USDPLN ,3.7,3.698, Sell,526000,0,2021-02-02 00:00:20.088,New, Oil diamond Ore silver, tag9 tag8 tag7 tag6
4330,0x173e,USDPLN ,3.7,3.698, Sell,979000,0,2021-02-02 00:00:20.603,In_process, Oil Oil diamond Ore, tag3 tag9 tag5 tag1
2369,0xfd7,USDPLN ,3.7,3.698, Sell,667000,0,2021-02-02 00:00:20.835,New, Oil diamond Ore silver, tag9 tag8 tag7 tag7
2718,0x14ab,USDPLN ,3.7,3.698, Sell,871000,0,2021-02-02 00:00:21.275,In_process, Oil diamond diamond Ore, tag4 tag7 tag4
1169,0x286,USDPLN ,3.7,3.699, Sell,107000,12000,2021-02-02 00:00:21.635, PartialFill, Oil Oil diamond diamond, tag5 tag5
6420,0x1735,USDPLN ,3.7,3.699, Sell,977000,0,2021-02-02 00:00:21.910,Done, Butter Oil Oil diamond, tag8 tag2 tag6
2037,0x12df,USDPLN ,3.7,3.698, Sell,795000,0,2021-02-02 00:00:21.951,New, diamond Ore silver Soil ,
5438,0x119a,USDPLN ,3.7,3.698, Sell,741000,0,2021-02-02 00:00:22.209,In_process, Oil diamond diamond Ore, tag4 tag1 tag8 tag5
1927,0x1664,USDPLN ,3.7,3.698, Sell,943000,889000,2021-02-02 00:00:22.416, PartialFill, Oil Oil diamond diamond, tag1 tag6 tag1 tag6
3005,0x719,USDPLN ,3.7,3.697, Sell,299000,0,2021-02-02 00:00:22.876,New, diamond Ore silver Soil , tag1 tag1 tag1 tag2
4257,0xe3e,USDPLN ,3.7,3.697,Buy,600000,0,2021-02-02 00:00:22.890,New, diamond Ore silver Soil , tag1 tag1 tag2 tag3
1081,0x621,USDPLN ,3.7,3.698, Sell,259000,0,2021-02-02 00:00:22.892,In_process, Oil diamond diamond Ore, tag4 tag1 tag8 tag5
6353,0x4c7,USDPLN ,3.7,3.697, Sell,202000,0,2021-02-02 00:00:22.953,New, diamond Ore silver Soil , tag1 tag1 tag1 tag1
1974,0xcbf,USDPLN ,3.7,3.698,Buy,537000,0,2021-02-02 00:00:23.490,In_process, Oil diamond diamond Ore, tag5 tag2 tag9 tag6
1415,0x480,USDPLN ,3.7,3.698, Sell,190000,0,2021-02-02 00:00:23.758, Cansel, Oil Oil diamond diamond, tag2 tag7 tag2 tag8
1897,0x402,USDPLN ,3.7,3.697, Sell,169000,0,2021-02-02 00:00:23.760,New, diamond Ore silver Soil , tag2 tag3 tag4 tag5
924,0x785,USDPLN ,3.7,3.699,Buy,317000,0,2021-02-02 00:00:23.773,Done, Oil Oil Oil diamond, tag4 tag8 tag2
7001,0xadf,USDPLN ,3.7,3.698, Sell,458000,0,2021-02-02 00:00:23.813,In_process, Oil diamond diamond Ore, tag5 tag2 tag9 tag6
2077,0x80d,USDPLN ,3.7,3.697, Sell,339000,0,2021-02-02 00:00:23.929,New, diamond Ore silver Soil , tag2 tag3 tag4 tag5
6009,0x136,USDPLN ,3.7,3.697,Buy,51000,0,2021-02-02 00:00:24.004,New, diamond Ore silver Soil , tag3 tag4 tag5 tag7
5041,0x155d,USDPLN ,3.7,3.697, Sell,900000,0,2021-02-02 00:00:24.171,New, diamond Ore silver Soil , tag3 tag4 tag6 tag8
6863,0x8d9,USDPLN ,3.7,3.698,Buy,373000,0,2021-02-02 00:00:24.234,In_process, Oil diamond Ore Ore, tag6 tag3 tag7
3150,0x134c,USDPLN ,3.7,3.698, Sell,813000,0,2021-02-02 00:00:24.683,In_process, Oil diamond Ore Ore, tag6 tag3 tag1 tag9
4566,0xe03,USDPLN ,3.7,3.698,Buy,590000,0,2021-02-02 00:00:25.937,In_process, Oil diamond Ore silver, tag6 tag4 tag2
28,0x114f,USDPLN ,3.7,3.698, Sell,729000,0,2021-02-02 00:00:26.049,In_process, Oil diamond Ore silver, tag7 tag5 tag3 tag1
5965,0xeb2,USDPLN ,3.7,3.697,Buy,619000,0,2021-02-02 00:00:26.166,New, diamond Ore Soil Wheat , tag5 tag7 tag3
1170,0x286,USDPLN ,3.7,3.699, Sell,107000,12000,2021-02-02 00:00:26.206,Done, Oil Oil diamond diamond, tag5 tag5
2697,0x673,USDPLN ,3.7,3.697,Buy,272000,0,2021-02-02 00:00:26.330,New, diamond Ore Soil Wheat , tag5 tag7 tag3
4331,0x173e,USDPLN ,3.7,3.698, Sell,979000,958000,2021-02-02 00:00:26.485, PartialFill, Oil Oil diamond Ore, tag3 tag9 tag5 tag1
3390,0xd43,USDPLN ,3.7,3.698,Buy,559000,0,2021-02-02 00:00:26.771,In_process, Oil diamond Ore silver, tag7 tag5 tag3 tag1
1267,0x15a9,USDPLN ,3.7,3.698,Buy,912000,0,2021-02-02 00:00:26.954,In_process, Oil diamond Ore silver, tag7 tag5 tag3 tag1
5117,0x7c7,USDPLN ,3.7,3.697, Sell,328000,0,2021-02-02 00:00:26.991,New, diamond Ore silverWheat , tag5 tag7 tag9 tag2
1928,0x1664,USDPLN ,3.7,3.698, Sell,943000,889000,2021-02-02 00:00:27.052,Done, Oil Oil diamond diamond, tag1 tag6 tag1 tag6
5534,0xe7c,USDPLN ,3.7,3.698, Sell,610000,0,2021-02-02 00:00:27.199,In_process, Oil diamond Ore silver, tag8 tag6 tag5 tag4
4137,0xc6d,USDPLN ,3.7,3.697,Buy,524000,0,2021-02-02 00:00:27.250,New, diamond Ore Soil Wheat , tag6 tag9 tag2 tag6
3981,0x13d2,USDPLN ,3.7,3.697,Buy,835000,0,2021-02-02 00:00:27.634,New, diamond Ore Soil Wheat , tag6 tag9 tag2 tag6
5478,0x1280,USDPLN ,3.7,3.698, Sell,779000,0,2021-02-02 00:00:28.192,In_process, Oil diamond Ore silver, tag8 tag7 tag6 tag5
5518,0x5a1,USDPLN ,3.7,3.698,Buy,237000,0,2021-02-02 00:00:28.222,In_process, Oil diamond Ore silver, tag8 tag7 tag6 tag5
4614,0x701,USDPLN ,3.7,3.698, Sell,295000,0,2021-02-02 00:00:28.440,In_process, Oil diamond Ore silver, tag8 tag7 tag6 tag5
2719,0x14ab,USDPLN ,3.7,3.698, Sell,871000,0,2021-02-02 00:00:28.806, Cansel, Oil diamond diamond Ore, tag4 tag7 tag4
5621,0xd4c,USDPLN ,3.7,3.697,Buy,560000,0,2021-02-02 00:00:29.129,New, diamond silver Soil Bercut, tag8 tag2 tag6 tag1
6290,0xc7b,USDPLN ,3.7,3.698, Sell,526000,0,2021-02-02 00:00:29.229,In_process, Oil diamond Ore silver, tag9 tag8 tag7 tag6
1416,0x480,USDPLN ,3.7,3.698, Sell,190000,0,2021-02-02 00:00:29.280,Done, Oil Oil diamond diamond, tag2 tag7 tag2 tag8
3433,0xc24,USDPLN ,3.7,3.697,Buy,512000,0,2021-02-02 00:00:29.306,New, diamond silver Soil Bercut, tag8 tag2 tag6 tag1
6093,0xfee,USDPLN ,3.7,3.697,Buy,671000,0,2021-02-02 00:00:29.306,New, diamond silver Soil Bercut, tag8 tag2 tag7 tag2
5439,0x119a,USDPLN ,3.7,3.698, Sell,741000,549000,2021-02-02 00:00:29.403, PartialFill, Oil diamond diamond Ore, tag4 tag1 tag8 tag5
2370,0xfd7,USDPLN ,3.7,3.698, Sell,667000,0,2021-02-02 00:00:29.532,In_process, Oil diamond Ore silver, tag9 tag8 tag7 tag7
1082,0x621,USDPLN ,3.7,3.698, Sell,259000,0,2021-02-02 00:00:29.902, Cansel, Oil diamond diamond Ore, tag4 tag1 tag8 tag5
1975,0xcbf,USDPLN ,3.7,3.698,Buy,537000,537000,2021-02-02 00:00:30.306,Fill, Oil diamond diamond Ore, tag5 tag2 tag9 tag6
7002,0xadf,USDPLN ,3.7,3.698, Sell,458000,0,2021-02-02 00:00:30.812, Cansel, Oil diamond diamond Ore, tag5 tag2 tag9 tag6
6864,0x8d9,USDPLN ,3.7,3.698,Buy,373000,139000,2021-02-02 00:00:31.582, PartialFill, Oil diamond Ore Ore, tag6 tag3 tag7
2038,0x12df,USDPLN ,3.7,3.698, Sell,795000,0,2021-02-02 00:00:31.617,In_process, diamond Ore silver Soil ,
3006,0x719,USDPLN ,3.7,3.697, Sell,299000,0,2021-02-02 00:00:32.021,In_process, diamond Ore silver Soil , tag1 tag1 tag1 tag2
4332,0x173e,USDPLN ,3.7,3.698, Sell,979000,958000,2021-02-02 00:00:32.145,Done, Oil Oil diamond Ore, tag3 tag9 tag5 tag1
4258,0xe3e,USDPLN ,3.7,3.697,Buy,600000,0,2021-02-02 00:00:32.638,In_process, diamond Ore silver Soil , tag1 tag1 tag2 tag3
6354,0x4c7,USDPLN ,3.7,3.697, Sell,202000,0,2021-02-02 00:00:32.641,In_process, diamond Ore silver Soil , tag1 tag1 tag1 tag1
3151,0x134c,USDPLN ,3.7,3.698, Sell,813000,0,2021-02-02 00:00:32.979, Cansel, Oil diamond Ore Ore, tag6 tag3 tag1 tag9
5265,0x10d8,USDPLN ,3.7,3.696,Buy,710000,0,2021-02-02 00:00:33.206,New, Ore silverWheat  Butter, tag2 tag8 tag5 tag3
4567,0xe03,USDPLN ,3.7,3.698,Buy,590000,590000,2021-02-02 00:00:33.214,Fill, Oil diamond Ore silver, tag6 tag4 tag2
2078,0x80d,USDPLN ,3.7,3.697, Sell,339000,0,2021-02-02 00:00:34.080,In_process, diamond Ore silver Soil , tag2 tag3 tag4 tag5
1268,0x15a9,USDPLN ,3.7,3.698,Buy,912000,832000,2021-02-02 00:00:34.594, PartialFill, Oil diamond Ore silver, tag7 tag5 tag3 tag1
1898,0x402,USDPLN ,3.7,3.697, Sell,169000,0,2021-02-02 00:00:34.650,In_process, diamond Ore silver Soil , tag2 tag3 tag4 tag5
29,0x114f,USDPLN ,3.7,3.698, Sell,729000,0,2021-02-02 00:00:34.826, Cansel, Oil diamond Ore silver, tag7 tag5 tag3 tag1
5601,0x8bf,USDPLN ,3.7,3.696,Buy,369000,0,2021-02-02 00:00:34.899,New, Ore Soil Wheat  Butter, tag3 tag7 tag5
3391,0xd43,USDPLN ,3.7,3.698,Buy,559000,0,2021-02-02 00:00:34.915, Cansel, Oil diamond Ore silver, tag7 tag5 tag3 tag1
6010,0x136,USDPLN ,3.7,3.697,Buy,51000,0,2021-02-02 00:00:35.329,In_process, diamond Ore silver Soil , tag3 tag4 tag5 tag7
7159,0x1353,USDPLN ,3.7,3.696,Buy,814000,0,2021-02-02 00:00:35.415,New, Ore Soil Wheat  Butter, tag4 tag1 tag9 tag8
5042,0x155d,USDPLN ,3.7,3.697, Sell,900000,0,2021-02-02 00:00:35.488,In_process, diamond Ore silver Soil , tag3 tag4 tag6 tag8
2720,0x14ab,USDPLN ,3.7,3.698, Sell,871000,0,2021-02-02 00:00:35.520,Done, Oil diamond diamond Ore, tag4 tag7 tag4
4901,0xf95,USDPLN ,3.7,3.696,Buy,656000,0,2021-02-02 00:00:35.671,New, Ore Soil Bercut Butter, tag4 tag2 tag9
4973,0x11ba,USDPLN ,3.7,3.696, Sell,747000,0,2021-02-02 00:00:35.997,New, Ore Soil Wheat  Butter, tag4 tag1 tag9 tag7
6217,0x61e,USDPLN ,3.7,3.696, Sell,258000,0,2021-02-02 00:00:36.127,New, Ore Soil Bercut Goodbye, tag5 tag3 tag2 tag1
5440,0x119a,USDPLN ,3.7,3.698, Sell,741000,549000,2021-02-02 00:00:36.233,Done, Oil diamond diamond Ore, tag4 tag1 tag8 tag5
6293,0x16c4,USDPLN ,3.7,3.696, Sell,959000,0,2021-02-02 00:00:36.464,New, Ore Soil Bercut Goodbye, tag5 tag3 tag1
5535,0xe7c,USDPLN ,3.7,3.698, Sell,610000,372000,2021-02-02 00:00:36.577, PartialFill, Oil diamond Ore silver, tag8 tag6 tag5 tag4
1083,0x621,USDPLN ,3.7,3.698, Sell,259000,0,2021-02-02 00:00:36.781,Done, Oil diamond diamond Ore, tag4 tag1 tag8 tag5
1976,0xcbf,USDPLN ,3.7,3.698,Buy,537000,537000,2021-02-02 00:00:37.066,Done, Oil diamond diamond Ore, tag5 tag2 tag9 tag6
5479,0x1280,USDPLN ,3.7,3.698, Sell,779000,779000,2021-02-02 00:00:37.174,Fill, Oil diamond Ore silver, tag8 tag7 tag6 tag5
1087,0xcc1,USDPLN ,3.7,3.697, Sell,537000,0,2021-02-02 00:00:37.188,In_process, diamond Ore silverWheat , tag4 tag6 tag8 tag1
4401,0x3c4,USDPLN ,3.7,3.696,Buy,159000,0,2021-02-02 00:00:37.527,New, Ore Soil Bercut Goodbye, tag6 tag5 tag4 tag4
3845,0x863,USDPLN ,3.7,3.696, Sell,354000,0,2021-02-02 00:00:37.580,New, Ore Soil Bercut Goodbye, tag6 tag5 tag4 tag4
5519,0x5a1,USDPLN ,3.7,3.698,Buy,237000,56000,2021-02-02 00:00:37.646, PartialFill, Oil diamond Ore silver, tag8 tag7 tag6 tag5
2525,0xb42,USDPLN ,3.7,3.696,Buy,474000,0,2021-02-02 00:00:37.794,New, Ore Soil Bercut Goodbye, tag6 tag4 tag3 tag3
4615,0x701,USDPLN ,3.7,3.698, Sell,295000,0,2021-02-02 00:00:37.942, Cansel, Oil diamond Ore silver, tag8 tag7 tag6 tag5
5365,0xe67,USDPLN ,3.7,3.696, Sell,607000,0,2021-02-02 00:00:37.949,New, Ore Soil Bercut Goodbye, tag6 tag5 tag4 tag4
5961,0xe32,USDPLN ,3.7,3.696, Sell,598000,0,2021-02-02 00:00:38.023,New, Ore Soil Bercut Goodbye, tag7 tag6 tag6 tag6
4797,0xa8d,USDPLN ,3.7,3.696, Sell,445000,0,2021-02-02 00:00:38.056,New, Ore Soil Bercut Goodbye, tag7 tag6 tag6 tag7
5966,0xeb2,USDPLN ,3.7,3.697,Buy,619000,0,2021-02-02 00:00:38.100,In_process, diamond Ore Soil Wheat , tag5 tag7 tag3
6679,0x700,USDPLN ,3.7,3.696, Sell,295000,0,2021-02-02 00:00:38.370,New, Ore Soil Bercut Goodbye, tag7 tag6 tag6 tag6
6291,0xc7b,USDPLN ,3.7,3.698, Sell,526000,277000,2021-02-02 00:00:38.438, PartialFill, Oil diamond Ore silver, tag9 tag8 tag7 tag6
2371,0xfd7,USDPLN ,3.7,3.698, Sell,667000,445000,2021-02-02 00:00:38.659, PartialFill, Oil diamond Ore silver, tag9 tag8 tag7 tag7
5118,0x7c7,USDPLN ,3.7,3.697, Sell,328000,0,2021-02-02 00:00:38.791,In_process, diamond Ore silverWheat , tag5 tag7 tag9 tag2
2698,0x673,USDPLN ,3.7,3.697,Buy,272000,0,2021-02-02 00:00:38.837,In_process, diamond Ore Soil Wheat , tag5 tag7 tag3
3429,0x5aa,USDPLN ,3.7,3.696,Buy,239000,0,2021-02-02 00:00:39.562,New, Ore Soil Bercut Goodbye, tag8 tag7 tag7 tag8
3982,0x13d2,USDPLN ,3.7,3.697,Buy,835000,0,2021-02-02 00:00:40.372,In_process, diamond Ore Soil Wheat , tag6 tag9 tag2 tag6
4138,0xc6d,USDPLN ,3.7,3.697,Buy,524000,0,2021-02-02 00:00:40.406,In_process, diamond Ore Soil Wheat , tag6 tag9 tag2 tag6
3152,0x134c,USDPLN ,3.7,3.698, Sell,813000,0,2021-02-02 00:00:40.930,Done, Oil diamond Ore Ore, tag6 tag3 tag1 tag9
754,0x29b,USDPLN ,3.7,3.697,Buy,110000,0,2021-02-02 00:00:40.967,In_process, diamond Ore Soil Wheat , tag6 tag9 tag2 tag6
4568,0xe03,USDPLN ,3.7,3.698,Buy,590000,590000,2021-02-02 00:00:41.466,Done, Oil diamond Ore silver, tag6 tag4 tag2
2039,0x12df,USDPLN ,3.7,3.698, Sell,795000,632000,2021-02-02 00:00:41.523, PartialFill, diamond Ore silver Soil ,
3577,0x777,USDPLN ,3.7,3.696,Buy,315000,0,2021-02-02 00:00:41.611,New, silverWheat  Butter Oil, tag1 tag2 tag4
3007,0x719,USDPLN ,3.7,3.697, Sell,299000,299000,2021-02-02 00:00:42.117,Fill, diamond Ore silver Soil , tag1 tag1 tag1 tag2
30,0x114f,USDPLN ,3.7,3.698, Sell,729000,0,2021-02-02 00:00:42.130,Done, Oil diamond Ore silver, tag7 tag5 tag3 tag1
1269,0x15a9,USDPLN ,3.7,3.698,Buy,912000,832000,2021-02-02 00:00:42.391,Done, Oil diamond Ore silver, tag7 tag5 tag3 tag1
